                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.393,                 2.7717,                 1.4092,                0.51911,                0.62096,                0.58827,                 0.3724,                 1.2937,                 1.6632,                 1.3262,             0.00023624,             0.00023624,             0.00023624
                      2,                 1.3051,                 1.6396,                 1.3076,                 0.5784,                0.61435,                0.61282,                0.38373,                 1.2674,                 1.5487,                 1.3244,             0.00045467,             0.00045467,             0.00045467
                      3,                 1.2936,                 1.5238,                 1.3049,                0.70921,                 0.6715,                0.70473,                0.43408,                 1.2776,                 1.3028,                 1.3146,             0.00065348,             0.00065348,             0.00065348
                      4,                 1.2695,                 1.4206,                 1.2891,                0.67015,                0.70801,                0.71815,                0.46077,                 1.2424,                 1.2339,                 1.2708,             0.00062564,             0.00062564,             0.00062564
                      5,                 1.2536,                  1.338,                 1.2703,                0.63259,                0.69374,                0.69368,                0.44191,                 1.2368,                 1.2609,                 1.2701,             0.00062564,             0.00062564,             0.00062564
                      6,                 1.2239,                 1.2736,                 1.2556,                0.62743,                0.73026,                0.70672,                0.46143,                 1.1893,                 1.1588,                 1.2546,             0.00059619,             0.00059619,             0.00059619
                      7,                 1.2086,                 1.2086,                 1.2532,                 0.7737,                0.70342,                0.73794,                0.48421,                 1.2008,                 1.0817,                 1.2554,             0.00056674,             0.00056674,             0.00056674
                      8,                 1.1882,                 1.1589,                  1.233,                 0.6884,                0.72838,                0.73588,                0.48305,                 1.1975,                  1.069,                 1.2625,             0.00053728,             0.00053728,             0.00053728
                      9,                 1.1821,                 1.1358,                 1.2425,                0.67729,                0.73568,                 0.7551,                 0.4891,                 1.1999,                 1.0414,                 1.2651,             0.00050783,             0.00050783,             0.00050783
                     10,                 1.1605,                 1.0903,                  1.226,                0.77909,                0.71372,                0.76435,                0.50623,                 1.1843,                 1.0034,                 1.2444,             0.00047838,             0.00047838,             0.00047838
                     11,                 1.1486,                 1.0493,                 1.2098,                0.69418,                0.73823,                0.75857,                0.50518,                 1.1706,                 1.0026,                 1.2507,             0.00044893,             0.00044893,             0.00044893
                     12,                 1.1407,                 1.0231,                 1.2087,                0.71393,                0.73178,                0.74901,                0.49973,                 1.1801,                 1.0063,                 1.2469,             0.00041947,             0.00041947,             0.00041947
                     13,                 1.1465,                 1.0066,                   1.21,                0.69301,                0.77829,                0.77828,                0.51965,                 1.1654,                0.94997,                 1.2363,             0.00039002,             0.00039002,             0.00039002
                     14,                 1.1157,                 0.9886,                 1.1929,                0.71676,                 0.7617,                0.76466,                0.50907,                 1.1674,                0.97493,                 1.2429,             0.00036057,             0.00036057,             0.00036057
                     15,                 1.0793,                 0.9474,                 1.1978,                0.73823,                0.73607,                0.77607,                0.51638,                 1.1583,                 0.9624,                 1.2385,             0.00033112,             0.00033112,             0.00033112
                     16,                 1.0573,                0.87759,                 1.1835,                0.73995,                0.77245,                0.78207,                0.52218,                 1.1629,                0.93067,                 1.2455,             0.00030167,             0.00030167,             0.00030167
                     17,                 1.0414,                0.85701,                 1.1695,                0.74219,                0.74874,                0.77612,                 0.5186,                 1.1549,                0.93289,                 1.2427,             0.00027221,             0.00027221,             0.00027221
                     18,                 1.0297,                0.83423,                 1.1641,                0.74815,                0.74991,                0.77587,                0.52638,                 1.1382,                 0.9223,                 1.2292,             0.00024276,             0.00024276,             0.00024276
                     19,                 1.0142,                0.80433,                 1.1584,                0.72706,                0.76632,                0.77812,                0.52775,                 1.1407,                0.92699,                 1.2323,             0.00021331,             0.00021331,             0.00021331
                     20,                 1.0018,                0.77659,                 1.1517,                0.72991,                0.77274,                0.78001,                0.53201,                 1.1393,                0.89795,                 1.2301,             0.00018385,             0.00018385,             0.00018385
                     21,                0.98565,                0.76048,                 1.1381,                0.77738,                0.76579,                0.79065,                0.53748,                 1.1321,                0.88669,                 1.2251,              0.0001544,              0.0001544,              0.0001544
                     22,                0.97697,                0.73944,                 1.1353,                0.73209,                 0.7754,                0.79055,                0.53629,                 1.1457,                0.89625,                 1.2315,             0.00012495,             0.00012495,             0.00012495
                     23,                0.96979,                0.72676,                 1.1363,                0.72593,                0.77182,                0.78781,                0.53794,                 1.1332,                0.89986,                 1.2299,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     24,                0.95625,                0.70614,                 1.1291,                0.71519,                0.77462,                0.78285,                 0.5398,                   1.13,                0.86833,                  1.228,             6.6045e-05,             6.6045e-05,             6.6045e-05
